ID,klimatischer Stressor,Impact,Branche(n),Unternehmensbereich,Unternehmen,Land,Naturraum,Beschreibung,Textstelle(n),,,
,Hitze /allg. Temperaturanstieg,"positiv - steigender Absatz, höhere Nachfrage nach ""Schön-Wetter-Produkten"" und Angeboten, z. B. nach Getränken, Swimming Pools, Bewässerungssystemen, Gebäudedämmung, Lüftungssystemen",Getränkeindustrie; Bausektor,Absatz,Brauerei Kleines Bierhaus; Mineralquelle Eptingen AG; Lieler Schlossbrunnen; U1; U2; Z1; Z2; D1; C1,Deutschland; Schweiz,Tieflagen; mittlere Lagen,"mehr Betrieb in Biergärten und auf Sommerfesten, v.a. abends; gestiegene Nachfrage nach Gebäudedämmung durch heiße Sommer und EnEV","so ein lauer Sommerabend tut natürlich wieder den Bierabsatz fördern. Die Leute haben mehr Zeit abends rauszugehen oder haben abends schöneres, wärmeres Wetter um rauszugehen; ein bisschen zu feiern und zu trinken, was natürlich dem Bierabsatz zu Gute kommt. Also was mittags dann so viel Wasser verkauft wird, wird dann abends mit dem Bier wieder nachgeholt –das passt dann schon. ","Vielleicht noch schnell zu Hitze. Hitzewellen, den Punkt. Für uns ist es ja ein Vorteil, wenn es einen heißen Sommer gibt. […] Wenn es wärmer wird trinken die Leute mehr, das ist ja für uns theoretisch ein Vorteil.","Lieler: Was ich bei ‚Aufgetreten‘angekreuzt habe ist Hitze, Hitzewelleund Dürre. Das hat dann eher [...]auf Thema Betriebsmittel Ausschlag, auf Thema Arbeitsabläufe, Produktion. Natürlich auf die Auftragslage, von daher positiv. […]  2003 das war schon ein Thema, ein heißer Sommer. Aber da  war  es  auch  so,  dass  dann  halt  mehr  getrunken  worden  ist,  ansonsten  aber  das  für  die Quellen  kein Problem war.","Hars et al. Z. B. S. 24 ""Dann ist natürlich die Anfrage durch die heißen Sommer extrem gestiegen."""
,allgemeiner Temperaturanstieg,"positiv: mehr Absatz bei gutem Wetter in Außengastronomie, längere Draußensaison",Getränkeindustrie; Gastronomie,Absatz,Decker Bier,Deutschland,Tieflagen,,"Andererseits, wenn die Winter milder werden oder der Herbst auch länger ist, der Frühling schon im März 28°C hat –das gibt ja dann mehr Öffnungstage wiederum.Schneider:Ja total. Wir merken schon, dass es im März, Ende März, im zweiten Drittel schon losgeht mit der ‚Draußen-Saison‘.",,,
,allgemeiner Temperaturanstieg,positiv: kürzere kältebedingte Unterbrechungen von Arbeiten im Freien,Bausektor; Metallbau,Produktion / Betrieb,Z1; D1; D2; C1; C2; Hévron,Deutschland; Schweiz,Tieflagen; mittlere Lagen; Hochlagen,,"Hars et al. S. 28, S. 36; S. 41; S. 51; S. 56","Oui c'est positif, je dirais. Moins il y a d'hiver, mieux c'est. Pour le boulot, moins il y a de températures extrêmes, plus on travaille, c'est une opportunité. Plus on peut travailler vite sur les chantiers, mieux c'est. […] Quand on ne peut pas bosser deux semaines de suite à cause, par exemple à Chaux-de-Fonds, s'il y a un mètre de neige, pour l'entreprise c'est une catastrophe incalculable. Si on parle de météorologie, c'est l'hiver qui pèse le plus lourd dans le bilan. [...] Mais l'hiver, quand tous nos chantiers sont bloqués, impactés sur toute la Suisse, c'est très difficile. ",,
,Hitze / allg. Temperaturanstieg,Kühlenergiebedarf steig - Energieabsatz steigt,Energieversorgung,Absatz,IWB,Schweiz,Tieflagen,,"IWB: Sicherlich die Temperaturerhöhung, die jetzt jedes Jahr, vor allem im Sommer, aber auch im Winter spürbar wird. Das heißt wir spüren das auch deutlich an dem Rückgang des Wärmeabsatzes,d.h.  wir  verkaufen  weniger  Wärmeenergie,  da  die  Winter  tatsächlich  auch wärmer  sind.  Und im  Sommer  haben  wir  mehr  Nachfrage  nach  Kälteenergie,  auch  dazu 
2kommen Klimaanlagen in Gebäuden –das ist sicherlich eine große Veränderung",,,
,Hitze / allg. Temperaturanstieg,kurzfristig: erhöhter Abfluss dank Gletscherschmelze führt zu erhöhtem Wasserangebot für Energieproduktion,Energieversorgung,Produktion / Betrieb,IWB,Schweiz,Hochlagen,in Großwasserwerken an Stauseen in den Alpen,"IWB: Einerseits hat es positive Effekte, wenn Gletscher  abschmelzen,  d.h.  wir  haben  mehr Wasser  in  den  Stauseen.  Aber  langfristig verändert  das  unser  Produktionsportfolio  erheblich –langfristig  heißt,  wir  reden  hier  von Jahrzehnten. Von daher sind das Szenarien, die wir langfristig anschauen und ich jetzt noch nicht  darlegen  kann,  was  das  genau  bedeutet.  Aber  das  verändert  auf  jeden  Fall  unseren Produktionstag bei den Großwasserwerken –dass irgendwann die Gletscher abgeschmolzen sind und dort deutlich weniger Wasser im Sommer als Tauwasser in die Stauseen fließt sowie in den Flüssen führen wird.",,,
,Starkregen,"positiv - mehr Reparatur- und Sanierungsaufträge durch starkregenbedingte Schäden an Häusern, in Gärten, etc.",Bausektor,Absatz,U1; U2; D1; C1,Deutschland,Tieflagen,z. B. überflutete Technikschächte von Swimming Pools; weggespültes Substrat auf begrünten Dächern; beschädigte und zu kleine Dachrinnen,"Hars et al, S. 20, S. 24, S. 32; S. 51f.",,,
,Gewitter & Hagel,"positiv - mehr Reparatur- und Sanierungsaufträge durch unwetterbedingte Schäden an Häusern, in Gärten, etc.",Bausektor; Verarbeitendes Gewerbe,Absatz,U1; U2; D1; Hévron,Deutschland; Schweiz,Tieflagen; mittlere Lagen; Hochlagen,,"Hars et al, S. 20, S. 24, S. 32","[...] Par contre, les dégâts de grêle sont problématiques. Sur les chantiers, cela provoque des casses de verre. On est payé pour ça, donc ça n'a pas d'impact financier, c'est juste embêtant. Le problème, il est chez le maître d'ouvrage... Quand on a fait la tôle sur le centre commercial de Migros-Marin (Canton de Neuchâtel), là, il y avait eu une immense grêle avec de gros grêlons : toute une façade avait été endommagé, il a fallu aller la refaire. On a été payé pour.",,
,Sturm,"positiv - mehr Reparatur- und Sanierungsaufträge durch sturmbedingte Schäden an Häusern, in Gärten, etc.",Bausektor,Absatz,U2; Z1,Deutschland,Tieflagen,,"Hars et al, S. 27",,,
,allgemeiner Temperaturanstieg,"Veränderung von Kundenwünschen: mehr Nachfrage nach umweltschonenden, klimafreundlichen Produkten - positiv, wenn nachhaltige Produkte im Portfolio sind bzw. integriert werden können",Bausektor; Verarbeitendes Gewerbe,Absatz,Z2; B1; Hévron,Deutschland; Schweiz,Tieflagen; mittlere Lagen; Hochlagen,"z. B. mehr Nachfrage nach PV-Anlagen, natürlichen Dämmstoffen, etc.",Hars et al. S. 32; S. 48,"Depuis 5-6 ans, on travaille également plus avec le photovoltaïque, la demande est très forte aujourd'hui. On construit actuellement une tour à Bâle avec les façades en photovoltaïque, ce qui est une première en Suisse. […] si tout à coup... le changement climatique était tel que cela impacterait le marché. Si tout à coup les gens ne veulent plus que du bois, du PVC - c'est une hypothèse inventée certes - nous serons impacté, nous n'aurions plus de travail. C'est peut-être un risque lié à la météo, mais on n'en est pas là pour l'instant. Il faudrait vraiment un évènement majeur qui change radicalement les mœurs et les envies, l'écologie... Il faudrait passer au bois.",,
,allgemeiner Temperaturanstieg,mehr Aufträge durch zunehmenden Sanierungsbedarf (energetische Sanierungen),Bausektor,Absatz,B2,Deutschland,Tieflagen; mittlere Lagen; Hochlagen,,"Hars et al, S. 44",,,
